"gross","budget","numGenres","imdbScore","numCriticReviews","numMovieFacebookLikes","castMovieLikes","numFacesInPoster","directorFacebookLikes","contentRating","duration","titleYear"
1,35,1,10,1,8,3,2,1,1,7,8
1,4,1,8,1,3,3,5,1,2,6,6
2,5,2,6,1,3,15,4,9,2,7,7
4,39,3,5,1,3,3,1,9,3,7,3
3,1,1,3,1,2,2,1,3,1,3,7
4,3,3,7,1,2,2,1,1,3,6,7
3,2,1,5,1,3,2,1,3,3,6,7
1,8,2,9,1,3,2,1,3,1,7,8
4,21,2,8,1,2,3,3,1,2,6,7
4,3,3,8,1,2,2,1,1,3,6,7
6,3,3,7,1,3,3,1,4,4,5,2
3,11,3,9,1,2,3,1,10,3,5,7
2,32,2,8,1,3,3,3,3,1,6,5
5,51,3,3,1,3,3,1,3,3,6,5
2,4,1,5,1,1,3,5,18,5,6,7
5,24,2,9,1,2,3,2,1,3,7,7
3,1,3,10,1,2,2,4,1,2,5,7
4,7,1,2,1,2,2,2,1,2,7,7
1,1,2,8,2,2,1,2,1,5,1,2
4,2,2,7,2,3,2,5,3,1,6,4
3,8,2,2,2,3,3,1,4,2,6,7
2,11,3,7,2,3,4,2,4,1,6,7
6,31,3,6,2,3,3,3,19,1,6,5
4,1,3,8,2,3,2,3,1,6,6,7
2,3,2,6,2,2,3,4,3,1,6,7
1,6,2,6,2,2,3,4,19,1,6,7
4,10,3,7,2,1,3,1,4,3,6,4
5,17,2,5,2,1,3,1,4,1,6,7
3,51,5,8,2,3,3,2,6,1,6,5
1,1,1,4,2,3,3,4,1,1,6,7
4,6,2,7,2,1,3,3,4,2,7,7
3,6,1,9,2,4,4,6,6,1,6,8
6,39,2,8,2,1,2,2,13,3,6,4
4,49,3,6,2,3,1,1,4,4,6,4
5,68,1,9,2,3,4,4,19,2,7,4
1,1,2,10,2,3,1,1,3,2,6,7
3,3,3,5,2,2,3,4,4,1,6,7
4,4,2,9,2,2,2,2,3,1,7,4
5,8,1,7,2,7,6,6,3,2,7,8
5,25,1,5,2,2,3,3,3,2,6,7
6,25,5,6,2,3,3,3,1,1,6,6
5,47,2,6,2,1,3,2,3,3,6,4
8,68,2,6,2,1,4,3,3,1,7,3
4,5,3,9,2,3,3,1,3,2,7,7
2,6,2,7,2,2,2,1,1,1,6,7
1,15,2,6,2,3,9,2,3,1,6,6
4,17,3,3,2,1,3,1,1,2,6,7
5,17,1,3,2,1,6,1,4,2,7,8
5,17,2,3,2,3,4,6,4,1,6,8
6,17,4,5,2,3,3,1,1,1,6,4
